Date,Cases,Cases,Cases
2020-01-22 00:00:00+00:00,0,0,0
2020-01-23 00:00:00+00:00,0,0,0
2020-01-24 00:00:00+00:00,0,0,0
2020-01-25 00:00:00+00:00,0,0,0
2020-01-26 00:00:00+00:00,0,0,0
2020-01-27 00:00:00+00:00,0,0,0
2020-01-28 00:00:00+00:00,0,0,0
2020-01-29 00:00:00+00:00,0,0,0
2020-01-30 00:00:00+00:00,0,0,0
2020-01-31 00:00:00+00:00,0,0,0
2020-02-01 00:00:00+00:00,1,0,1
2020-02-02 00:00:00+00:00,1,0,1
2020-02-03 00:00:00+00:00,1,0,1
2020-02-04 00:00:00+00:00,1,0,1
2020-02-05 00:00:00+00:00,1,0,1
2020-02-06 00:00:00+00:00,1,0,1
2020-02-07 00:00:00+00:00,1,0,1
2020-02-08 00:00:00+00:00,1,0,1
2020-02-09 00:00:00+00:00,2,0,2
2020-02-10 00:00:00+00:00,2,0,2
2020-02-11 00:00:00+00:00,2,0,2
2020-02-12 00:00:00+00:00,2,0,2
2020-02-13 00:00:00+00:00,2,0,2
2020-02-14 00:00:00+00:00,2,0,2
2020-02-15 00:00:00+00:00,2,0,2
2020-02-16 00:00:00+00:00,2,0,2
2020-02-17 00:00:00+00:00,2,0,2
2020-02-18 00:00:00+00:00,2,0,2
2020-02-19 00:00:00+00:00,2,0,2
2020-02-20 00:00:00+00:00,2,0,2
2020-02-21 00:00:00+00:00,2,0,2
2020-02-22 00:00:00+00:00,2,0,2
2020-02-23 00:00:00+00:00,2,0,2
2020-02-24 00:00:00+00:00,2,0,2
2020-02-25 00:00:00+00:00,6,0,6
2020-02-26 00:00:00+00:00,13,0,13
2020-02-27 00:00:00+00:00,15,0,15
2020-02-28 00:00:00+00:00,32,0,32
2020-02-29 00:00:00+00:00,45,0,45
2020-03-01 00:00:00+00:00,84,0,84
2020-03-02 00:00:00+00:00,120,0,120
2020-03-03 00:00:00+00:00,165,0,165
2020-03-04 00:00:00+00:00,222,0,222
2020-03-05 00:00:00+00:00,259,0,259
2020-03-06 00:00:00+00:00,400,1,400
2020-03-07 00:00:00+00:00,500,1,500
2020-03-08 00:00:00+00:00,673,1,673
2020-03-09 00:00:00+00:00,1073,1,1073
2020-03-10 00:00:00+00:00,1695,3,1695
2020-03-11 00:00:00+00:00,2277,9,2277
2020-03-12 00:00:00+00:00,2277,9,2277
2020-03-13 00:00:00+00:00,5232,13,5232
2020-03-14 00:00:00+00:00,6391,22,6391
2020-03-15 00:00:00+00:00,7798,34,7798
2020-03-16 00:00:00+00:00,9942,57,9942
2020-03-17 00:00:00+00:00,11748,75,11748
2020-03-18 00:00:00+00:00,13910,102,13910
2020-03-19 00:00:00+00:00,17963,108,17963
2020-03-20 00:00:00+00:00,20410,158,20410
2020-03-21 00:00:00+00:00,25374,196,25374
2020-03-22 00:00:00+00:00,28768,231,28768
2020-03-23 00:00:00+00:00,35136,277,35136
2020-03-24 00:00:00+00:00,39885,378,39885
